Während der gesamten parlamentarischen Republik waren die Konservativen eine der dominierenden Parteien im Kongress . 	7:8	/government /government/political_party /organization
Während der gesamten parlamentarischen Republik waren die Konservativen eine der dominierenden Parteien im Kongress . 	13:14	/government /government/government
Wolfgang Kosack : Der koptische Heiligenkalender . 	0:3	/person /person/artist
Der Song war so bezeichnend für den Klang der Second Herd von Woody Herman , dass diese Formation auch die Four Brothers Band benannt wurde . 	9:11	/person /person/musician
Der Song war so bezeichnend für den Klang der Second Herd von Woody Herman , dass diese Formation auch die Four Brothers Band benannt wurde . 	12:14	/person /person/musician
Der Song war so bezeichnend für den Klang der Second Herd von Woody Herman , dass diese Formation auch die Four Brothers Band benannt wurde . 	19:23	/person /person/musician
In einem Interview präzisiert der Künstler seine Motivation und antwortet auf die Frage ob die RAF Opfer ihrer Ideologie wurde : Ja sicher . 	15:16	/military
Die Nelson Daily News war eine Tageszeitung in Nelson , British Columbia , die im Jahr 2010 eingestellt wurde . 	0:4	/written_work
Die Nelson Daily News war eine Tageszeitung in Nelson , British Columbia , die im Jahr 2010 eingestellt wurde . 	2:4	/written_work
Die Nelson Daily News war eine Tageszeitung in Nelson , British Columbia , die im Jahr 2010 eingestellt wurde . 	8:9	/location /location/city
Die Nelson Daily News war eine Tageszeitung in Nelson , British Columbia , die im Jahr 2010 eingestellt wurde . 	10:12	/location /location/province
Die Nelson Daily News war eine Tageszeitung in Nelson , British Columbia , die im Jahr 2010 eingestellt wurde . 	16:17	/event 
Er hat 23 Geschwister , die nicht alle von der gleichen Mutter stammen , da sein Vater polygam lebte . 	2:3	/finance
Koper kündigte die Fortsetzung der Suche an . 	0:1	/person
Nach der Trennung von der SPD wurde die FVdG zunehmend vom französischen Anarchismus und Syndikalismus beeinflusst . 	5:6	/government /government/political_party 
Nach der Trennung von der SPD wurde die FVdG zunehmend vom französischen Anarchismus und Syndikalismus beeinflusst . 	8:9	/government /government/political_party
Nach der Trennung von der SPD wurde die FVdG zunehmend vom französischen Anarchismus und Syndikalismus beeinflusst . 	11:12	/location /location/country
In der Resolution wird die Schaffung eines Obersten Nationalrats als Autoritätsquelle während der Übergangszeit begrüßt . 	10:14	/government /government/government
Die Tutt Library des Colorado College hat mehrere experimentelle Anwendungen unter Verwendung von BIBFRAME erstellt . 	4:6	/organization /organization/educational_institution
Die Tutt Library des Colorado College hat mehrere experimentelle Anwendungen unter Verwendung von BIBFRAME erstellt . 	1:3	/location
Die Tutt Library des Colorado College hat mehrere experimentelle Anwendungen unter Verwendung von BIBFRAME erstellt . 	13:14	/organization /organization/company
Sie war die zweite Frau von Charles Townshend , der berüchtigt für seinen Jähzorn war . 	3:4	/finance
Sie war die zweite Frau von Charles Townshend , der berüchtigt für seinen Jähzorn war . 	6:8	/person /person/politician
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet . 	4:6	/person
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet . 	9:12	/event 
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet . 	17:18	/event
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet . 	19:20	/location /location/city
Eine Notiz auf der Rückseite benennt Michael Luter , für eine Neufassung im Jahr 1820 . 	6:8	/person
Eine Notiz auf der Rückseite benennt Michael Luter , für eine Neufassung im Jahr 1820 . 	14:15	/event
So ging Magnus ein Militärbündnis mit dem dänischen König ein . 	2:3	/person /person/monarch
So ging Magnus ein Militärbündnis mit dem dänischen König ein . 	7:8	/location /location/country
Später aber beschäftigte er sich selbst mit der Verbesserung seiner Felder und dem Neubau von Teaninich Castle . 	15:17	/location
In : Kidney & Blood Pressure Research . 	2:7	/written_work
1650 ist eine Gesetzesänderung zu einem Militärgesetz von 1969 , welches dem Umgang mit Infiltration seitens der benachbarten arabischen Staaten diente . 	8:9	/event
1650 ist eine Gesetzesänderung zu einem Militärgesetz von 1969 , welches dem Umgang mit Infiltration seitens der benachbarten arabischen Staaten diente . 	18:19	/location
Drei weitere Gruppen folgten im Januar 2012 . 	0:1	/finance
Drei weitere Gruppen folgten im Januar 2012 . 	5:7	/event 
Der Friedhof war von den Mönchen der Priorei Dover eingerichtet worden . 	8:9	/location
Angesichts von Überfällen auf benachbarte Siedlungen führt Arador seine Krieger auf einen Feldzug gegen die Orks in der Gegend , um den Frieden in der Region wiederherzustellen . 	7:8	/person /person/soldier
Als Isaak getötet wurde , hinterließ er seine schwangere Frau . 	1:2	/person
Die Mitglieder des Konvents entstammten allen Schichten der Gesellschaft , aber am zahlreichsten vertreten waren Anwälte . 	3:4	/organization
Soweit solche Ereignisse in der heutigen Zeit beobachtet werden konnten , waren die entstandenen Schäden stets enorm und könnten bei einer Häufung weit schwerwiegendere Konsequenzen haben als eine Trockenheit . 	5:6	/event
Lüneburg verpflichtete sich darin , nach Abschluss des allgemeinen Friedensvertrages alle besetzten Gebiete zu räumen . 	0:1	/location /location/country
Die leistungsfähige Verkehrsachse soll nach der Fertigstellung eine wesentlich schnellere Anbindung an die übrige Schweiz gewährleisten . 	14:15	/location /location/country
Mai 1997 nach St. Pölten . 	3:5	/location /location/city
Raper diente anschließend auf der HMS Duke und der HMS Victory . 	0:1	/person /person/soldier
Raper diente anschließend auf der HMS Duke und der HMS Victory . 	5:7	/product /product/ship
Raper diente anschließend auf der HMS Duke und der HMS Victory . 	9:11	/product /product/ship
Die Anzahl der Körperschaftswälder in Deutschland wird auf 60.000 geschätzt , bei einer durchschnittlichen Betriebsgröße von 38 Hektar . 	5:6	/location /location/country 
Die Anzahl der Körperschaftswälder in Deutschland wird auf 60.000 geschätzt , bei einer durchschnittlichen Betriebsgröße von 38 Hektar . 	8:9	/finance
Die Anzahl der Körperschaftswälder in Deutschland wird auf 60.000 geschätzt , bei einer durchschnittlichen Betriebsgröße von 38 Hektar . 	16:18	/location
Die Thames Water Authority war eine der regionalen Wasserbehörden , die 1975 in Großbritannien geschaffen wurden , um alle Wasserverwaltungsaufgaben einer Region in einer Behörde zusammenzufassen . 	0:4	/organization /government_agency
Die Thames Water Authority war eine der regionalen Wasserbehörden , die 1975 in Großbritannien geschaffen wurden , um alle Wasserverwaltungsaufgaben einer Region in einer Behörde zusammenzufassen . 	8:9	/organization /government_agency
Die Thames Water Authority war eine der regionalen Wasserbehörden , die 1975 in Großbritannien geschaffen wurden , um alle Wasserverwaltungsaufgaben einer Region in einer Behörde zusammenzufassen . 	13:14	/location /location/country
Die Thames Water Authority war eine der regionalen Wasserbehörden , die 1975 in Großbritannien geschaffen wurden , um alle Wasserverwaltungsaufgaben einer Region in einer Behörde zusammenzufassen . 	11:12	/event
Zudem zahlt jedes Communitymitglied eine Monatsgebühr an Sonnen . 	7:8	/finance /finance/currency
Produzent : Lobby Loyde . 	2:4	/organization /organization/company
Gründung des Vereins mit 116 Gründungsmitgliedern . 	0:3	/event
Gründung des Vereins mit 116 Gründungsmitgliedern . 	4:5	/finance
Ältere Beamte des Bildungsministeriums erkennen an , dass die Institute eine wichtige Rolle bei der Förderung der Alphabetisierung in asiatischen Sprachen spielen , sie geben zu , dass sie Bedenken hinsichtlich des Einflusses Chinas auf den Inhalt des Programms haben . 	0:4	/person 
